#chr	start	end	ensembl_id	gene_symbol
chr5	45254949	45696498	ENSG00000164588.6	HCN1
chr7	1530713	1543043	ENSG00000198517.9	MAFK
chr7	13891227	13991425	ENSG00000006468.13	ETV1
chr2	8678844	8684453	ENSG00000115738.9	ID2
chr4	3074680	3243959	ENSG00000197386.10	HTT
chrX	3041470	3112726	ENSG00000062096.14	ARSF
chr17	4959225	4967872	ENSG00000091640.7	SPAG7
chr20	9514357	9530524	ENSG00000125869.9	LAMP5
chr1	6424787	6461370	ENSG00000187017.15	ESPN
chr3	3126915	3150879	ENSG00000072756.16	TRNT1
chr11	1554043	1571920	ENSG00000184545.10	DUSP8
chr13	21153594	21176602	ENSG00000165480.15	SKA3
chr21	30214005	30216073	ENSG00000156284.5	CLDN8
chr22	24219653	24245142	ENSG00000099998.17	GGT5
chr20	1368977	1393172	ENSG00000088832.16	FKBP1A
chr6	7389495	7418037	ENSG00000124784.8	RIOK1
chr4	3074680	3243959	ENSG00000197386.10	HTT
